Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,,9.0,1410000.0,875000.0,,,,,1290000.0,28.0,2590000.0,600000.0,,,580.0,69.0,1300.0,320.0
3040,Aberfeldie,647,1338000.0,34.0,3400000.0,470000.0,733000.0,875000.0,1825000.0,2222000.0,1300000.0,85.0,4400000.0,289000.0,17.0,9.0,515.0,114.0,1000.0,275.0
3042,Airport West,757,1058000.0,19.0,1775000.0,695000.0,695000.0,901000.0,1242000.0,1775000.0,985000.0,41.0,2900000.0,640000.0,11.0,9.0,470.0,31.0,1000.0,280.0
3021,Albanvale,787,600000.0,65.0,1550000.0,385000.0,422000.0,540000.0,685000.0,1100000.0,600000.0,186.0,1460000.0,355000.0,3.0,2.0,358.0,174.0,1200.0,200.0
3206,Albert Park,797,,7.0,4500000.0,1720000.0,,,,,2550000.0,18.0,8800000.0,1500000.0,1.0,,825.0,26.0,1650.0,490.0
3020,Albion,837,600000.0,22.0,765000.0,417000.0,500000.0,540000.0,659000.0,699000.0,600000.0,70.0,1100000.0,400000.0,4.0,2.0,375.0,96.0,550.0,300.0
3078,Alphington,1047,1302000.0,14.0,1811000.0,725000.0,725000.0,958000.0,1515000.0,1811000.0,1275000.0,31.0,2600000.0,870000.0,6.0,5.0,588.0,42.0,1100.0,280.0
3028,Altona Meadows,1127,,9.0,790000.0,593000.0,,,,,650000.0,21.0,795000.0,570000.0,,,400.0,12.0,600.0,300.0
3025,Altona North,1137,785000.0,69.0,1120000.0,590000.0,615000.0,650000.0,870000.0,1030000.0,800000.0,107.0,3000000.0,590000.0,5.0,,475.0,122.0,775.0,280.0
3018,Altona,1057,,5.0,1540000.0,790000.0,,,,,925000.0,12.0,1550000.0,788000.0,,,,9.0,695.0,495.0
3022,Ardeer,1507,,7.0,765000.0,550000.0,,,,,600000.0,17.0,900000.0,540000.0,3.0,3.0,350.0,31.0,410.0,285.0
3143,Armadale,1587,2548000.0,12.0,12150000.0,1500000.0,1500000.0,1585000.0,4600000.0,12150000.0,3000000.0,30.0,8500000.0,399000.0,3.0,2.0,750.0,56.0,2400.0,330.0
3936,Arthurs Seat,1687,850000.0,37.0,2050000.0,435000.0,560000.0,740000.0,920000.0,1625000.0,890000.0,85.0,5125000.0,295000.0,,,490.0,28.0,900.0,120.0
3032,Ascot Vale,1757,,3.0,1810000.0,805000.0,,,,,,9.0,1685000.0,740000.0,2.0,1.0,470.0,13.0,650.0,340.0
3147,Ashburton,1787,1210000.0,10.0,1700000.0,775000.0,775000.0,1045000.0,1375000.0,1700000.0,1125000.0,33.0,2100000.0,800000.0,4.0,1.0,530.0,45.0,950.0,320.0
3147,Ashwood,1807,1210000.0,10.0,1700000.0,775000.0,775000.0,1045000.0,1375000.0,1700000.0,1125000.0,33.0,2100000.0,800000.0,4.0,1.0,530.0,45.0,950.0,320.0
3195,Aspendale,1817,,2.0,1950000.0,1690000.0,,,,,,7.0,1900000.0,780000.0,1.0,,,4.0,750.0,690.0
3195,Aspendale Gardens,1837,,2.0,1950000.0,1690000.0,,,,,,7.0,1900000.0,780000.0,1.0,,,4.0,750.0,690.0
3049,Attwood,1857,599000.0,21.0,765000.0,470000.0,480000.0,518000.0,630000.0,730000.0,580000.0,44.0,900000.0,382000.0,5.0,5.0,393.0,30.0,500.0,260.0
3034,Avondale Heights,1957,848000.0,22.0,1275000.0,690000.0,693000.0,750000.0,900000.0,1185000.0,850000.0,45.0,2590000.0,605000.0,6.0,4.0,430.0,54.0,695.0,300.0
3782,Avonsleigh,1977,,2.0,1120000.0,850000.0,,,,,,3.0,1550000.0,800000.0,,,,,,
3183,Balaclava,2197,,8.0,2560000.0,1250000.0,,,,,1225000.0,23.0,2800000.0,350000.0,4.0,3.0,600.0,59.0,1600.0,210.0
3103,Balwyn,2557,2430000.0,30.0,5050000.0,1240000.0,1383000.0,1950000.0,2860000.0,4675000.0,2200000.0,70.0,4880000.0,260000.0,4.0,,725.0,63.0,1650.0,340.0
3104,Balwyn North,2597,2090000.0,53.0,4600000.0,1050000.0,1369000.0,1640000.0,2580000.0,4250000.0,1850000.0,102.0,6450000.0,719000.0,7.0,2.0,605.0,84.0,2500.0,395.0
3175,Bangholme,2687,,,,,,,,,,,,,,,,,,
3911,Baxter,3267,,4.0,1900000.0,700000.0,,,,,,6.0,3500000.0,600000.0,,,,,,
3153,Bayswater,3337,709000.0,26.0,980000.0,485000.0,535000.0,617000.0,780000.0,900000.0,700000.0,47.0,1150000.0,80000.0,2.0,1.0,410.0,17.0,610.0,310.0
3153,Bayswater North,3387,709000.0,26.0,980000.0,485000.0,535000.0,617000.0,780000.0,900000.0,700000.0,47.0,1150000.0,80000.0,2.0,1.0,410.0,17.0,610.0,310.0
3807,Beaconsfield,3417,,,,,,,,,,,,,,,,,,
3193,Beaumaris,3547,1860000.0,15.0,3100000.0,860000.0,860000.0,1575000.0,2830000.0,3100000.0,1800000.0,27.0,3200000.0,750000.0,8.0,6.0,745.0,23.0,1250.0,395.0
3160,Belgrave,3617,,7.0,1200000.0,530000.0,,,,,,8.0,1100000.0,550000.0,,,,2.0,565.0,550.0
3160,Belgrave Heights,3627,,7.0,1200000.0,530000.0,,,,,,8.0,1100000.0,550000.0,,,,2.0,565.0,550.0
3160,Belgrave South,3637,,7.0,1200000.0,530000.0,,,,,,8.0,1100000.0,550000.0,,,,2.0,565.0,550.0
3081,Bellfield,3787,685000.0,18.0,805000.0,590000.0,590000.0,610000.0,755000.0,805000.0,650000.0,30.0,1325000.0,445000.0,,,400.0,45.0,650.0,275.0
3204,Bentleigh,4117,,9.0,1740000.0,901000.0,,,,,1250000.0,28.0,2300000.0,780000.0,2.0,1.0,630.0,30.0,995.0,400.0
3165,Bentleigh East,4127,1181000.0,60.0,1727000.0,675000.0,770000.0,1030000.0,1325000.0,1468000.0,1150000.0,115.0,1980000.0,380000.0,7.0,5.0,590.0,144.0,1200.0,375.0
3806,Berwick,4297,,3.0,1330000.0,750000.0,,,,,,6.0,2000000.0,720000.0,,,,3.0,1000.0,350.0
3918,Bittern,4567,700000.0,15.0,1535000.0,540000.0,540000.0,600000.0,1220000.0,1535000.0,615000.0,22.0,1500000.0,450000.0,,,,4.0,475.0,350.0
3193,Black Rock,4627,1860000.0,15.0,3100000.0,860000.0,860000.0,1575000.0,2830000.0,3100000.0,1800000.0,27.0,3200000.0,750000.0,8.0,6.0,745.0,23.0,1250.0,395.0
3130,Blackburn,4637,1086000.0,20.0,1731000.0,805000.0,805000.0,960000.0,1207000.0,1350000.0,1000000.0,39.0,1550000.0,690000.0,10.0,7.0,480.0,33.0,780.0,149.0
3130,Blackburn North,4657,1086000.0,20.0,1731000.0,805000.0,805000.0,960000.0,1207000.0,1350000.0,1000000.0,39.0,1550000.0,690000.0,10.0,7.0,480.0,33.0,780.0,149.0
3130,Blackburn South,4667,1086000.0,20.0,1731000.0,805000.0,805000.0,960000.0,1207000.0,1350000.0,1000000.0,39.0,1550000.0,690000.0,10.0,7.0,480.0,33.0,780.0,149.0
3942,Blairgowrie,4717,1210000.0,30.0,2530000.0,650000.0,715000.0,963000.0,1551000.0,2530000.0,1175000.0,46.0,2900000.0,580000.0,,,,8.0,1400.0,330.0
3196,Bonbeach,5007,925000.0,21.0,3800000.0,600000.0,623000.0,750000.0,1202000.0,1717000.0,830000.0,34.0,3900000.0,499000.0,2.0,2.0,550.0,35.0,850.0,320.0
3155,Boronia,5327,681000.0,62.0,1940000.0,500000.0,520000.0,615000.0,742000.0,863000.0,673000.0,137.0,1600000.0,350000.0,19.0,12.0,400.0,80.0,610.0,330.0
3128,Box Hill,5477,1076000.0,12.0,1950000.0,785000.0,785000.0,950000.0,1400000.0,1950000.0,1204000.0,35.0,4000000.0,756000.0,5.0,3.0,495.0,44.0,1100.0,165.0
3129,Box Hill North,5547,1338000.0,14.0,1733000.0,901000.0,901000.0,966000.0,1438000.0,1733000.0,1400000.0,35.0,2800000.0,795000.0,4.0,3.0,550.0,23.0,1000.0,390.0
3128,Box Hill South,5567,1076000.0,12.0,1950000.0,785000.0,785000.0,950000.0,1400000.0,1950000.0,1204000.0,35.0,4000000.0,756000.0,5.0,3.0,495.0,44.0,1100.0,165.0
3195,Braeside,5647,,2.0,1950000.0,1690000.0,,,,,,7.0,1900000.0,780000.0,1.0,,,4.0,750.0,690.0
3019,Braybrook,5697,659000.0,35.0,850000.0,525000.0,562000.0,615000.0,702000.0,800000.0,650000.0,67.0,1499000.0,450000.0,5.0,1.0,400.0,81.0,600.0,150.0
3088,Briar Hill,5807,,1.0,1149000.0,1149000.0,,,,,,9.0,1000000.0,690000.0,1.0,,,2.0,570.0,500.0
3186,Brighton,5957,2975000.0,50.0,9750000.0,298000.0,1263000.0,1995000.0,4075000.0,6350000.0,3117000.0,145.0,22000000.0,290000.0,5.0,5.0,1000.0,141.0,3900.0,390.0
3187,Brighton East,5997,2060000.0,38.0,3500000.0,818000.0,873000.0,1740000.0,2300000.0,3380000.0,1895000.0,84.0,5000000.0,570000.0,4.0,4.0,790.0,89.0,2750.0,355.0
3047,Broadmeadows,6127,,7.0,580000.0,430000.0,,,,,545000.0,20.0,1400000.0,380000.0,1.0,,350.0,21.0,430.0,300.0
3338,Brookfield,6207,425000.0,40.0,602000.0,303000.0,315000.0,383000.0,480000.0,576000.0,450000.0,396.0,1000000.0,36000.0,2.0,,330.0,71.0,420.0,250.0
3012,Brooklyn,6227,799000.0,26.0,1284000.0,580000.0,580000.0,660000.0,930000.0,1260000.0,785000.0,62.0,1675000.0,295000.0,7.0,4.0,470.0,78.0,650.0,165.0
3056,Brunswick,6377,1093000.0,30.0,2950000.0,453000.0,675000.0,874000.0,1360000.0,1875000.0,1000000.0,64.0,4050000.0,440000.0,21.0,18.0,570.0,235.0,,250.0
3057,Brunswick East,6427,1160000.0,15.0,1900000.0,720000.0,720000.0,920000.0,1550000.0,1900000.0,1125000.0,33.0,1850000.0,550000.0,9.0,6.0,550.0,101.0,995.0,264.0
3055,Brunswick West,6447,940000.0,18.0,2065000.0,525000.0,525000.0,770000.0,1276000.0,2065000.0,888000.0,39.0,2050000.0,380000.0,7.0,5.0,518.0,92.0,1150.0,270.0
3428,Bulla,6657,,1.0,1015000.0,1015000.0,,,,,,3.0,1200000.0,464000.0,,,,3.0,900.0,375.0
3105,Bulleen,6707,911000.0,17.0,1220000.0,510000.0,510000.0,820000.0,1050000.0,1220000.0,1085000.0,58.0,3300000.0,490000.0,7.0,2.0,520.0,45.0,920.0,150.0
3083,Bundoora,6877,,3.0,830000.0,582000.0,,,,,,8.0,870000.0,449000.0,2.0,1.0,365.0,25.0,550.0,120.0
3121,Burnley,7117,1413000.0,40.0,4660000.0,818000.0,819000.0,1105000.0,1843000.0,2550000.0,1350000.0,96.0,4000000.0,350000.0,7.0,5.0,650.0,306.0,2500.0,300.0
3023,Burnside,7137,,,,,,,,,,,,,,,,,,
3023,Burnside Heights,48297,,,,,,,,,,,,,,,,,,
3125,Burwood,7237,1230000.0,19.0,1785000.0,838000.0,838000.0,1020000.0,1380000.0,1785000.0,1270000.0,78.0,2400000.0,650000.0,12.0,8.0,533.0,106.0,900.0,205.0
3151,Burwood East,7327,992000.0,16.0,1520000.0,791000.0,791000.0,953000.0,1250000.0,1520000.0,1050000.0,43.0,1575000.0,415000.0,10.0,9.0,485.0,54.0,780.0,175.0
3023,Cairnlea,7527,,,,,,,,,,,,,,,,,,
3037,Calder Park,104257,819000.0,22.0,966000.0,522000.0,525000.0,725000.0,860000.0,965000.0,750000.0,36.0,5985000.0,470000.0,7.0,3.0,450.0,19.0,670.0,370.0
3124,Camberwell,7677,1700000.0,31.0,4950000.0,740000.0,804000.0,1585000.0,2300000.0,4900000.0,1873000.0,101.0,6000000.0,690000.0,11.0,5.0,675.0,91.0,1745.0,220.0
3061,Campbellfield,7717,,3.0,630000.0,615000.0,,,,,543000.0,13.0,1000000.0,395000.0,1.0,1.0,390.0,13.0,500.0,335.0
3126,Canterbury,7907,2320000.0,13.0,3860000.0,900000.0,900000.0,1730000.0,3170000.0,3860000.0,2750000.0,47.0,42000000.0,735000.0,3.0,2.0,925.0,30.0,3800.0,495.0
3054,Carlton North,8247,,1.0,1450000.0,1450000.0,,,,,,4.0,1600000.0,595000.0,1.0,1.0,695.0,16.0,1300.0,310.0
3053,Carlton,8217,,2.0,1115000.0,880000.0,,,,,807000.0,16.0,1825000.0,239000.0,3.0,1.0,618.0,130.0,2400.0,50.0
3163,Carnegie,8297,,4.0,2070000.0,1156000.0,,,,,,8.0,1860000.0,900000.0,1.0,1.0,,8.0,725.0,270.0
3023,Caroline Springs,8327,,,,,,,,,,,,,,,,,,
3197,Carrum,8497,991000.0,13.0,2350000.0,660000.0,660000.0,940000.0,1450000.0,2350000.0,1065000.0,47.0,3500000.0,550000.0,,,545.0,22.0,865.0,400.0
3201,Carrum Downs,8507,580000.0,70.0,1370000.0,410000.0,475000.0,535000.0,625000.0,750000.0,530000.0,133.0,4200000.0,49000.0,,,395.0,66.0,505.0,330.0
3162,Caulfield,8687,1718000.0,22.0,2350000.0,1100000.0,1285000.0,1380000.0,1850000.0,2225000.0,1500000.0,41.0,2700000.0,890000.0,9.0,7.0,749.0,43.0,1250.0,350.0
3145,Caulfield East,8707,1808000.0,37.0,6250000.0,720000.0,790000.0,1168000.0,2200000.0,3610000.0,1785000.0,94.0,7850000.0,169000.0,14.0,13.0,550.0,130.0,2500.0,148.0
3161,Caulfield North,8747,1933000.0,23.0,5870000.0,1215000.0,1285000.0,1508000.0,3210000.0,4410000.0,1525000.0,36.0,9000000.0,300000.0,6.0,6.0,593.0,51.0,1360.0,320.0
3162,Caulfield South,8787,1718000.0,22.0,2350000.0,1100000.0,1285000.0,1380000.0,1850000.0,2225000.0,1500000.0,41.0,2700000.0,890000.0,9.0,7.0,749.0,43.0,1250.0,350.0
3148,Chadstone,8847,1102000.0,14.0,1640000.0,750000.0,750000.0,903000.0,1300000.0,1640000.0,1100000.0,39.0,3750000.0,760000.0,4.0,2.0,493.0,72.0,760.0,300.0
3196,Chelsea,8927,925000.0,21.0,3800000.0,600000.0,623000.0,750000.0,1202000.0,1717000.0,830000.0,34.0,3900000.0,499000.0,2.0,2.0,550.0,35.0,850.0,320.0
3196,Chelsea Heights,8937,925000.0,21.0,3800000.0,600000.0,623000.0,750000.0,1202000.0,1717000.0,830000.0,34.0,3900000.0,499000.0,2.0,2.0,550.0,35.0,850.0,320.0
3192,Cheltenham,8967,1001000.0,45.0,1650000.0,538000.0,624000.0,880000.0,1203000.0,1591000.0,996000.0,98.0,6958000.0,550000.0,23.0,14.0,525.0,90.0,950.0,350.0
3116,Chirnside Park,9137,757000.0,29.0,1275000.0,615000.0,620000.0,700000.0,950000.0,1200000.0,700000.0,77.0,1975000.0,530000.0,1.0,,460.0,23.0,710.0,390.0
3169,Clarinda,9257,750000.0,14.0,978000.0,460000.0,460000.0,660000.0,873000.0,978000.0,820000.0,67.0,1400000.0,399000.0,8.0,3.0,450.0,90.0,630.0,290.0
3168,Clayton,9327,,5.0,1038000.0,420000.0,,,,,,7.0,1350000.0,420000.0,1.0,,430.0,23.0,640.0,135.0
3169,Clayton South,9367,750000.0,14.0,978000.0,460000.0,460000.0,660000.0,873000.0,978000.0,820000.0,67.0,1400000.0,399000.0,8.0,3.0,450.0,90.0,630.0,290.0
3782,Clematis,9397,,2.0,1120000.0,850000.0,,,,,,3.0,1550000.0,800000.0,,,,,,
3068,Clifton Hill,9437,1368000.0,16.0,3300000.0,838000.0,838000.0,986000.0,1528000.0,3300000.0,1450000.0,40.0,4500000.0,490000.0,15.0,11.0,630.0,120.0,,200.0
3058,Coburg,9707,880000.0,23.0,1357000.0,386000.0,600000.0,715000.0,1001000.0,1250000.0,730000.0,30.0,4300000.0,125000.0,11.0,10.0,460.0,67.0,750.0,180.0
3058,Coburg North,9727,880000.0,23.0,1357000.0,386000.0,600000.0,715000.0,1001000.0,1250000.0,730000.0,30.0,4300000.0,125000.0,11.0,10.0,460.0,67.0,750.0,180.0
3030,Cocoroc,9797,,3.0,1000000.0,600000.0,,,,,699000.0,28.0,1690000.0,140000.0,,,395.0,11.0,590.0,240.0
3770,Coldstream,9947,,5.0,1100000.0,580000.0,,,,,,8.0,1195000.0,530000.0,,,,2.0,470.0,355.0
3066,Collingwood,9987,,6.0,1480000.0,867000.0,,,,,995000.0,19.0,1800000.0,680000.0,5.0,2.0,598.0,70.0,1350.0,380.0
3048,Coolaroo,10107,520000.0,10.0,700000.0,442000.0,442000.0,460000.0,530000.0,700000.0,490000.0,65.0,700000.0,350000.0,4.0,1.0,370.0,56.0,500.0,320.0
3064,Craigieburn,10597,585000.0,37.0,790000.0,390000.0,411000.0,550000.0,652000.0,705000.0,560000.0,103.0,930000.0,374000.0,3.0,2.0,400.0,83.0,550.0,330.0
3977,Cranbourne,10627,615000.0,18.0,1000000.0,518000.0,518000.0,580000.0,655000.0,1000000.0,599000.0,35.0,5000000.0,465000.0,,,425.0,13.0,520.0,330.0
3977,Cranbourne East,10647,615000.0,18.0,1000000.0,518000.0,518000.0,580000.0,655000.0,1000000.0,599000.0,35.0,5000000.0,465000.0,,,425.0,13.0,520.0,330.0
3977,Cranbourne North,10657,615000.0,18.0,1000000.0,518000.0,518000.0,580000.0,655000.0,1000000.0,599000.0,35.0,5000000.0,465000.0,,,425.0,13.0,520.0,330.0
3977,Cranbourne South,10677,615000.0,18.0,1000000.0,518000.0,518000.0,580000.0,655000.0,1000000.0,599000.0,35.0,5000000.0,465000.0,,,425.0,13.0,520.0,330.0
3977,Cranbourne West,10687,615000.0,18.0,1000000.0,518000.0,518000.0,580000.0,655000.0,1000000.0,599000.0,35.0,5000000.0,465000.0,,,425.0,13.0,520.0,330.0
3121,Cremorne,10737,1413000.0,40.0,4660000.0,818000.0,819000.0,1105000.0,1843000.0,2550000.0,1350000.0,96.0,4000000.0,350000.0,7.0,5.0,650.0,306.0,2500.0,300.0
3919,Crib Point,10797,608000.0,12.0,955000.0,410000.0,410000.0,480000.0,700000.0,955000.0,550000.0,21.0,880000.0,410000.0,,,,6.0,510.0,340.0
3136,Croydon,10867,700000.0,18.0,853000.0,455000.0,455000.0,658000.0,764000.0,853000.0,680000.0,26.0,1125000.0,460000.0,4.0,4.0,,8.0,525.0,280.0
3136,Croydon Hills,10877,700000.0,18.0,853000.0,455000.0,455000.0,658000.0,764000.0,853000.0,680000.0,26.0,1125000.0,460000.0,4.0,4.0,,8.0,525.0,280.0
3136,Croydon North,10887,700000.0,18.0,853000.0,455000.0,455000.0,658000.0,764000.0,853000.0,680000.0,26.0,1125000.0,460000.0,4.0,4.0,,8.0,525.0,280.0
3136,Croydon South,10897,700000.0,18.0,853000.0,455000.0,455000.0,658000.0,764000.0,853000.0,680000.0,26.0,1125000.0,460000.0,4.0,4.0,,8.0,525.0,280.0
3047,Dallas,11087,,7.0,580000.0,430000.0,,,,,545000.0,20.0,1400000.0,380000.0,1.0,,350.0,21.0,430.0,300.0
3175,Dandenong,11157,,,,,,,,,,,,,,,,,,
3175,Dandenong North,11187,,,,,,,,,,,,,,,,,,
3175,Dandenong South,11207,,,,,,,,,,,,,,,,,,
3023,Deer Park,11507,,,,,,,,,,,,,,,,,,
3037,Delahey,11547,819000.0,22.0,966000.0,522000.0,525000.0,725000.0,860000.0,965000.0,750000.0,36.0,5985000.0,470000.0,7.0,3.0,450.0,19.0,670.0,370.0
3026,Derrimut,161087,,,,,,,,,,,,,,,,,,
3089,Diamond Creek,11867,846000.0,25.0,1680000.0,640000.0,685000.0,760000.0,975000.0,1350000.0,880000.0,38.0,10200000.0,600000.0,5.0,5.0,520.0,15.0,990.0,370.0
3172,Dingley Village,11977,,8.0,820000.0,392000.0,,,,,673000.0,40.0,1385000.0,350000.0,3.0,1.0,403.0,34.0,550.0,300.0
3008,Docklands,12117,,4.0,1760000.0,340000.0,,,,,,13.0,3990000.0,355000.0,1.0,1.0,480.0,25.0,1855.0,40.0
3108,Doncaster,12177,1050000.0,31.0,1900000.0,700000.0,799000.0,921000.0,1350000.0,1800000.0,1183000.0,187.0,6500000.0,365000.0,9.0,3.0,555.0,141.0,1651.0,179.0
3109,Doncaster East,12227,1197000.0,58.0,2400000.0,772000.0,878000.0,1090000.0,1350000.0,1750000.0,1200000.0,186.0,6000000.0,485000.0,11.0,6.0,580.0,109.0,990.0,325.0
3111,Donvale,12247,1450000.0,26.0,2412000.0,770000.0,850000.0,1160000.0,1675000.0,2285000.0,1279000.0,67.0,3047000.0,385000.0,3.0,1.0,513.0,36.0,875.0,350.0
3754,Doreen,12307,598000.0,50.0,1056000.0,483000.0,523000.0,543000.0,650000.0,784000.0,560000.0,197.0,1950000.0,365000.0,8.0,7.0,390.0,111.0,550.0,235.0
3177,Doveton,12367,,3.0,830000.0,700000.0,,,,,,8.0,830000.0,360000.0,,,,3.0,450.0,350.0
3936,Dromana,12437,850000.0,37.0,2050000.0,435000.0,560000.0,740000.0,920000.0,1625000.0,890000.0,85.0,5125000.0,295000.0,,,490.0,28.0,900.0,120.0
3084,Eaglemont,13037,971000.0,13.0,1435000.0,671000.0,671000.0,797000.0,1195000.0,1435000.0,895000.0,17.0,2200000.0,655000.0,2.0,2.0,530.0,12.0,625.0,395.0
3002,East Melbourne,13127,,2.0,7300000.0,2675000.0,,,,,,9.0,7000000.0,280000.0,,,860.0,20.0,2345.0,495.0
3196,Edithvale,13457,925000.0,21.0,3800000.0,600000.0,623000.0,750000.0,1202000.0,1717000.0,830000.0,34.0,3900000.0,499000.0,2.0,2.0,550.0,35.0,850.0,320.0
3185,Elsternwick,13627,,3.0,2535000.0,1286000.0,,,,,,3.0,2500000.0,750000.0,,,,8.0,995.0,300.0
3095,Eltham,13677,1460000.0,12.0,2500000.0,840000.0,840000.0,1080000.0,1766000.0,2500000.0,1550000.0,17.0,2100000.0,790000.0,2.0,1.0,,3.0,820.0,550.0
3095,Eltham North,13687,1460000.0,12.0,2500000.0,840000.0,840000.0,1080000.0,1766000.0,2500000.0,1550000.0,17.0,2100000.0,790000.0,2.0,1.0,,3.0,820.0,550.0
3184,Elwood,13717,2268000.0,28.0,5000000.0,1155000.0,1235000.0,1490000.0,2700000.0,3870000.0,2200000.0,64.0,4500000.0,280000.0,4.0,1.0,705.0,84.0,2500.0,290.0
3782,Emerald,13747,,2.0,1120000.0,850000.0,,,,,,3.0,1550000.0,800000.0,,,,,,
3802,Endeavour Hills,13797,673000.0,55.0,1250000.0,524000.0,552000.0,601000.0,750000.0,980000.0,665000.0,127.0,2300000.0,450000.0,1.0,1.0,390.0,55.0,680.0,250.0
